directory => accepted comment count   Unaccepted comment count
 drivers/net/ethernet/netronome/nfp/nfpcore => 114    15
 drivers/net/ethernet/netronome/nfp/abm => 5    0
 drivers/net/ethernet/netronome/nfp/bpf => 7    2
 drivers/net/ethernet/netronome/nfp/flower => 29    0
 drivers/net/ethernet/netronome/nfp/nic => 0    0
 drivers/net/ethernet/netronome/nfp/crypto => 0    0
 drivers/net/ethernet/netronome/nfp => 120    9
 drivers/net/ethernet/netronome => 0    0
 drivers/net/ethernet/via => 76    117
 drivers/net/ethernet/chelsio/cxgb4vf => 97    338
 drivers/net/ethernet/chelsio/cxgb => 123    127
 drivers/net/ethernet/chelsio/cxgb3 => 144    176
 drivers/net/ethernet/chelsio/inline_crypto/ch_ipsec => 1    3
 drivers/net/ethernet/chelsio/inline_crypto/ch_ktls => 0    23
 drivers/net/ethernet/chelsio/inline_crypto/chtls => 0    43
 drivers/net/ethernet/chelsio/inline_crypto => 0    0
 drivers/net/ethernet/chelsio/libcxgb => 0    0
 drivers/net/ethernet/chelsio/cxgb4 => 290    146
 drivers/net/ethernet/chelsio => 0    0
 drivers/net/ethernet/sgi => 0    12
 drivers/net/ethernet/altera => 0    0
 drivers/net/ethernet/toshiba => 91    67
 drivers/net/ethernet/micrel => 202    32
 drivers/net/ethernet/alacritech => 0    0
 drivers/net/ethernet/cisco/enic => 3    23
 drivers/net/ethernet/cisco => 0    0
 drivers/net/ethernet/google/gve => 0    0
 drivers/net/ethernet/google => 0    0
 drivers/net/ethernet/rocker => 16    0
 drivers/net/ethernet/mellanox/mlxsw => 1071    0
 drivers/net/ethernet/mellanox/mlx4 => 17    57
 drivers/net/ethernet/mellanox/mlx5/core/steering => 3    0
 drivers/net/ethernet/mellanox/mlx5/core/en_accel => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/diag => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/esw/acl => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/esw => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/accel => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/lib => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/fpga => 13    0
 drivers/net/ethernet/mellanox/mlx5/core/en/xsk => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/en/rep => 0    0
 drivers/net/ethernet/mellanox/mlx5/core/en => 1    0
 drivers/net/ethernet/mellanox/mlx5/core/ipoib => 0    0
 drivers/net/ethernet/mellanox/mlx5/core => 10    1
 drivers/net/ethernet/mellanox/mlx5 => 0    0
 drivers/net/ethernet/mellanox/mlxfw => 0    0
 drivers/net/ethernet/mellanox => 0    0
 drivers/net/ethernet/aeroflex => 0    0
 drivers/net/ethernet/fujitsu => 17    1
 drivers/net/ethernet/marvell/mvpp2 => 0    2
 drivers/net/ethernet/marvell/octeontx2/nic => 0    0
 drivers/net/ethernet/marvell/octeontx2/af => 3    0
 drivers/net/ethernet/marvell/octeontx2 => 0    0
 drivers/net/ethernet/marvell/prestera => 0    0
 drivers/net/ethernet/marvell => 0    115
 drivers/net/ethernet/davicom => 2    16
 drivers/net/ethernet/ti => 98    14
 drivers/net/ethernet/faraday => 14    31
 drivers/net/ethernet/ezchip => 11    0
 drivers/net/ethernet/atheros/alx => 2    3
 drivers/net/ethernet/atheros/atl1c => 25    38
 drivers/net/ethernet/atheros/atl1e => 28    34
 drivers/net/ethernet/atheros/atlx => 43    74
 drivers/net/ethernet/atheros => 0    0
 drivers/net/ethernet/silan => 0    0
 drivers/net/ethernet/ibm/emac => 3    21
 drivers/net/ethernet/ibm/ehea => 0    18
 drivers/net/ethernet/ibm => 21    11
 drivers/net/ethernet/sis => 40    9
 drivers/net/ethernet/amd/xgbe => 0    6
 drivers/net/ethernet/amd => 44    129
 drivers/net/ethernet/huawei/hinic => 233    0
 drivers/net/ethernet/huawei => 0    0
 drivers/net/ethernet/qualcomm/emac => 1    0
 drivers/net/ethernet/qualcomm/rmnet => 0    0
 drivers/net/ethernet/qualcomm => 0    0
 drivers/net/ethernet/socionext => 1    0
 drivers/net/ethernet/qlogic/qlcnic => 16    43
 drivers/net/ethernet/qlogic/qed => 360    0
 drivers/net/ethernet/qlogic/qede => 6    0
 drivers/net/ethernet/qlogic/netxen => 2    64
 drivers/net/ethernet/qlogic => 0    82
 drivers/net/ethernet/xilinx => 79    14
 drivers/net/ethernet/samsung/sxgbe => 44    0
 drivers/net/ethernet/samsung => 0    0
 drivers/net/ethernet/calxeda => 11    0
 drivers/net/ethernet/stmicro/stmmac => 151    14
 drivers/net/ethernet/stmicro => 0    0
 drivers/net/ethernet/sun => 0    13
