directory => accepted comment count   Unaccepted comment count
File   drivers/net/phy/microchip_t1.c => 0    0
File   drivers/net/phy/broadcom.c => 0    8
File   drivers/net/phy/dp83848.c => 0    0
File   drivers/net/phy/Makefile => 0    0
File   drivers/net/phy/microchip.c => 0    0
File   drivers/net/phy/dp83640.c => 0    8
File   drivers/net/phy/teranetics.c => 0    0
File   drivers/net/phy/phy_led_triggers.c => 0    0
File   drivers/net/phy/dp83867.c => 0    0
File   drivers/net/phy/dp83640_reg.h => 1    0
File   drivers/net/phy/marvell10g.c => 0    0
File   drivers/net/phy/bcm84881.c => 0    0
File   drivers/net/phy/Kconfig => 0    0
File   drivers/net/phy/aquantia_main.c => 0    0
File   drivers/net/phy/at803x.c => 0    2
File   drivers/net/phy/meson-gxl.c => 0    0
File   drivers/net/phy/marvell.c => 7    0
File   drivers/net/phy/mdio_devres.c => 3    0
File   drivers/net/phy/swphy.c => 2    2
File   drivers/net/phy/linkmode.c => 2    0
File   drivers/net/phy/ax88796b.c => 1    0
File   drivers/net/phy/mdio_device.c => 4    0
File   drivers/net/phy/sfp.h => 0    0
File   drivers/net/phy/mscc/mscc_macsec.h => 0    0
File   drivers/net/phy/mscc/Makefile => 0    0
File   drivers/net/phy/mscc/mscc_ptp.h => 0    0
File   drivers/net/phy/mscc/mscc.h => 0    0
File   drivers/net/phy/mscc/mscc_main.c => 0    0
File   drivers/net/phy/mscc/mscc_ptp.c => 0    0
File   drivers/net/phy/mscc/mscc_macsec.c => 0    0
File   drivers/net/phy/mscc/mscc_fc_buffer.h => 0    0
File   drivers/net/phy/mscc/mscc_mac.h => 0    0
  drivers/net/phy/mscc => 0    0
File   drivers/net/phy/bcm7xxx.c => 0    0
File   drivers/net/phy/smsc.c => 0    1
File   drivers/net/phy/cortina.c => 0    0
File   drivers/net/phy/sfp-bus.c => 13    0
File   drivers/net/phy/intel-xway.c => 1    0
File   drivers/net/phy/cicada.c => 0    0
File   drivers/net/phy/lxt.c => 0    2
File   drivers/net/phy/micrel.c => 0    0
File   drivers/net/phy/vitesse.c => 0    0
File   drivers/net/phy/realtek.c => 1    0
File   drivers/net/phy/spi_ks8995.c => 0    0
File   drivers/net/phy/phy-core.c => 25    0
File   drivers/net/phy/uPD60620.c => 0    0
File   drivers/net/phy/icplus.c => 0    0
File   drivers/net/phy/sfp.c => 0    0
File   drivers/net/phy/fixed_phy.c => 0    2
File   drivers/net/phy/phy-c45.c => 13    1
File   drivers/net/phy/phylink.c => 31    4
File   drivers/net/phy/davicom.c => 0    0
File   drivers/net/phy/bcm-phy-lib.h => 0    0
File   drivers/net/phy/dp83822.c => 0    0
File   drivers/net/phy/aquantia.h => 0    0
File   drivers/net/phy/adin.c => 5    1
File   drivers/net/phy/xilinx_gmii2rgmii.c => 0    0
File   drivers/net/phy/et1011c.c => 0    0
File   drivers/net/phy/swphy.h => 0    0
File   drivers/net/phy/mdio_bus.c => 17    1
File   drivers/net/phy/phy_device.c => 49    1
File   drivers/net/phy/qsemi.c => 0    0
File   drivers/net/phy/nxp-tja11xx.c => 0    1
File   drivers/net/phy/aquantia_hwmon.c => 0    0
  drivers/net/phy => 224    37
File   drivers/net/wireless/mediatek/mt7601u/core.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/phy.c => 3    0
File   drivers/net/wireless/mediatek/mt7601u/main.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/Makefile => 0    0
File   drivers/net/wireless/mediatek/mt7601u/mcu.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/initvals.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/Kconfig => 0    0
File   drivers/net/wireless/mediatek/mt7601u/usb.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/mt7601u.h => 1    0
File   drivers/net/wireless/mediatek/mt7601u/mac.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/dma.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/init.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/dma.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/regs.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/util.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/mac.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/mcu.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/tx.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/debugfs.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/usb.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/eeprom.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/trace.h => 0    0
File   drivers/net/wireless/mediatek/mt7601u/eeprom.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/trace.c => 0    0
File   drivers/net/wireless/mediatek/mt7601u/initvals_phy.h => 0    0
  drivers/net/wireless/mediatek/mt7601u => 4    0
File   drivers/net/wireless/mediatek/Makefile => 0    0
File   drivers/net/wireless/mediatek/mt76/mt76x02_beacon.c => 0    2
File   drivers/net/wireless/mediatek/mt76/testmode.h => 5    0
File   drivers/net/wireless/mediatek/mt76/mt76x02_debugfs.c => 0    0
File   drivers/net/wireless/mediatek/mt76/testmode.c => 0    0
File   drivers/net/wireless/mediatek/mt76/mt76x02_usb_mcu.c => 0    0
File   drivers/net/wireless/mediatek/mt76/mt76x02_util.c => 0    3
File   drivers/net/wireless/mediatek/mt76/Makefile => 0    0
